"fipstxt","state","county","metro2023","high_farming_2025","high_mining_2025","high_manufacturing_2025","high_government_2025","high_recreation_2025","nonspecialized_2025","industry_dependence_2025","low_postsecondary_ed_2025","low_employment_2025","population_loss_2025","housing_stress_2025","retirement_destination_2025","persistent_poverty_1721","industry_dependence_fct"
"18001","IN","Adams",0,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18003","IN","Allen",1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Not dependent"
"18005","IN","Bartholomew",1,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18007","IN","Benton",1,1,0,0,0,0,0,1,0,0,1,0,0,0,"Farming"
"18009","IN","Blackford",0,0,0,1,0,0,0,3,0,0,1,0,0,0,"Manufacturing"
"18011","IN","Boone",1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Not dependent"
"18013","IN","Brown",1,0,0,0,0,1,0,5,0,0,0,0,0,0,"Recreation"
"18015","IN","Carroll",1,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18017","IN","Cass",0,0,0,1,0,0,0,3,0,0,1,0,0,0,"Manufacturing"
"18019","IN","Clark",1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Not dependent"
"18021","IN","Clay",1,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18023","IN","Clinton",0,0,0,1,0,0,0,3,0,0,1,0,0,0,"Manufacturing"
"18025","IN","Crawford",0,0,0,0,0,0,1,0,1,0,1,0,0,0,"Not dependent"
"18027","IN","Daviess",0,0,0,0,0,0,1,3,0,0,0,0,0,0,"Manufacturing"
"18029","IN","Dearborn",1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Not dependent"
"18031","IN","Decatur",0,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18033","IN","DeKalb",0,0,0,1,0,0,0,3,0,0,0,0,0,0,"Manufacturing"
"18035","IN","Delaware",1,0,0,0,1,0,0,0,0,0,1,0,0,0,"Not dependent"
