"variable_name","description"
"FIPStxt","State+county Federal Information Processing System (FIPS) code, in text format"
"State","State postal abbreviation"
"County_Name","County or county-equivalent name"
"Metro2023","Classifications of counties are based on the Office of Management and Budget's (OMB) definition of Metropolitan Statistical Areas as defined in the July 2023 Bulletin Number 23-01. Metropolitan statistical areas have at least one urban area of 50,000 or more population, plus adjacent territory that has a high degree of social and economic integration with the core as measured by commuting ties. 0 = counties that do not belong to metropolitan statistical areas 1 = counties that belong to metropolitan statistical areas. The OMB produced 2023 Core Based Statistical Area designations for Connecticut's Planning Region geographies (FIPS codes 09110 to 09190) but not for Connecticut's county geographies (FIPS codes 09001 to 09015). USDA, Economic Research Service (ERS) treated Litchfield County, CT and Windham County, CT as nonmetropolitan and all other Connecticut counties as metropolitan for the purposes of this data product. This treatment is reflected in the Metro2023 variable in this data product."
NA,NA
"Economic Typology Codes",NA
"High_Farming_2025","High farming-concentration counties: Farming accounted for at least 20 percent of the county's earnings or 17 percent of the county's jobs averaged over 2019, 2021, and 2022. 0 = no; 1 = yes; 99 = not available"
"High_Mining_2025","High mining-concentration counties: Mining accounted for at least 11 percent of the county's earnings or 7 percent of the county's jobs averaged over 2019, 2021, and 2022.  0 = no; 1 = yes; 99 = not available"
"High_Manufacturing_2025","High manufacturing-concentration counties: Manufacturing accounted for at least 25 percent of the county's earnings or 17 percent of the county's jobs averaged over 2019, 2021, and 2022.  0 = no; 1 = yes; 99 = not available"
"High_Government_2025","High government-concentration counties: Federal and State Government accounted for at least 13 percent of the county's earnings or 8 percent of the county's jobs averaged over 2019, 2021, and 2022.  0 = no; 1 = yes; 99 = not available"
"High_Recreation_2025","High recreation-concentration counties: Weighted z-score of recreation earnings, jobs, and housing greater than or equal to 0.67. See the documentation on the ERS website for more information (Data Products > County Typology Codes > Documentation).  0 = no; 1 = yes; 99 = not available"
"Nonspecialized_2025","Nonspecialized counties: Counties were not classified as having a 'high concentration' in farming, mining, manufacturing, government, or recreation.  0 = no; 1 = yes; 99 = not available"
"Industry_Dependence_2025","Mutually exclusive economic dependence county indicator: Indicates the industry with a weighted z-score greater than or equal to '1' and that is higher than any other industry's weighted z-score. See the Industry Dependence Code Thresholds section of the documentation on the ERS website for more information (Data Products > County Typology Codes > Documentation). 0 = Not dependent; 1 = Farming dependent; 2 = Mining dependent; 3 = Manufacturing dependent; 4 = Government dependent; 5 = Recreation dependent; 99 = not available"
NA,NA
"Demographic Typology Codes",NA
"Low_PostSecondary_Ed_2025","Low post-secondary education counties: At least 57 percent of residents ages 25 to 64 did not have any post-secondary education in 2018–22 5-year American Community Survey (ACS). 0 = no; 1 = yes; 99 = not available"
"Low_Employment_2025","Low employment counties: Less than 63 percent of residents ages 25 to 54 were employed in 2018–22 5-year ACS. 0 = no; 1 = yes; 99 = not available"
"Population_Loss_2025","Population loss counties: Number of residents declined from 2000 to 2010 and from 2010 to 2020, based on Decennial Census data. 0 = no; 1 = yes; 99 = not available"
