"election_year","county","registered","voting","turnout_rate","voting_in_person","voting_absentee","voting_absentee_rate","pres_election_year","election_date"
2010,"Adams",17880,9763,55,8782,981,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Allen",240268,92622,39,80912,11710,13,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Bartholomew",49557,20147,41,17644,2503,12,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Benton",5817,2324,40,2060,264,11,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Blackford",8728,4015,46,3038,977,24,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Boone",38794,19529,50,16492,3037,16,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Brown",12203,6397,52,5372,1025,16,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Carroll",14535,6093,42,5521,572,9,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Cass",22008,11266,51,5564,5702,51,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Clark",83698,33535,40,30018,3517,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Clay",18808,8371,45,7003,1368,16,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Clinton",20032,7629,38,6633,996,13,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Crawford",9492,4152,44,3581,571,14,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Daviess",18443,7214,39,6155,1059,15,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Dearborn",34803,15606,45,14077,1529,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Decatur",15345,7888,51,6540,1348,17,"Mid-term elections","Tuesday, November 2, 2010"
2010,"DeKalb",27674,11701,42,10059,1642,14,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Delaware",87271,31770,36,27736,4034,13,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Dubois",28520,14533,51,12145,2388,16,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Elkhart",119865,46619,39,42038,4581,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Fayette",16632,6527,39,5324,1203,18,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Floyd",54823,26316,48,23619,2697,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Fountain",12524,5636,45,5048,588,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Franklin",17872,7681,43,6899,782,10,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Fulton",13233,6373,48,5395,978,15,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Gibson",22214,11703,53,9757,1946,17,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Grant",47858,16523,35,13950,2573,16,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Greene",20128,10099,50,8408,1691,17,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Hamilton",182345,81796,45,73149,8647,11,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Hancock",52050,23137,44,20350,2787,12,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Harrison",29609,15145,51,13232,1913,13,"Mid-term elections","Tuesday, November 2, 2010"
2010,"Hendricks",93326,39421,42,35310,4111,10,"Mid-term elections","Tuesday, November 2, 2010"
