"county","adoption_year"
"Adams",2016
"Bartholomew",2014
"Benton",2024
"Blackford",2012
"Boone",2014
"Carroll",2014
"Cass",2008
"Clay",2014
"Clinton",2015
"Daviess",2023
"Dearborn",2019
"Decatur",2021
"DeKalb",2019
"Dubois",2021
"Elkhart",2014
"Fayette",2011
"Floyd",2012
"Fountain",2018
"Franklin",2024
"Fulton",2021
"Grant",2020
"Greene",2018
"Hancock",2013
"Hendricks",2018
"Henry",2015
"Howard",2016
"Huntington",2015
"Jackson",2021
"Jasper",2021
"Johnson",2012
"Knox",2021
"Kosciusko",2022
"LaPorte",2024
"Lawrence",2018
"Madison",2021
"Marion",2018
"Marshall",2016
"Miami",2013
"Montgomery",2016
"Morgan",2018
"Noble",2013
"Owen",2016
"Pike",2020
"Porter",2022
"Posey",2020
"Pulaski",2016
"Putnam",2018
"Randolph",2018
"Ripley",2024
"St. Joseph",2020
"Scott",2023
"Shelby",2020
"Spencer",2021
"Starke",2020
"Steuben",2021
"Sullivan",2024
"Switzerland",2012
"Tippecanoe",2006
"Tipton",2021
"Vanderburgh",2011
"Vigo",2013
"Wabash",2014
"Warrick",2021
"Wayne",2006
"Wells",2015
"White",2014
